Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQM,156782104,CERN ,"24,321","1,907,982.45",0.175,Cerner Corp,Common Stock,Health Care,06/25/2021
QQQM,848637104,SPLK ,"13,217","1,866,769.08",0.172,Splunk Inc,Common Stock,Information Technology,06/25/2021
QQQM,256746108,DLTR ,"18,734","1,842,488.90",0.169,Dollar Tree Inc,Common Stock,Consumer Discretionary,06/25/2021
QQQM,45337C102,INCY ,"17,740","1,540,364.20",0.142,Incyte Corp,Common Stock,Health Care,06/25/2021
QQQM,89677Q107,TCOM ,"42,527","1,519,489.71",0.140,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,06/25/2021
QQQM,M22465104,CHKP ,"10,909","1,273,407.57",0.117,Check Point Software Technologies Ltd,Common Stock,Information Technology,06/25/2021
QQQM,825252885,AGPXX ,"1,265,957","1,265,956.99",0.116,Invesco Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,06/25/2021
QQQM,35137L105,FOXA ,"26,398","1,012,627.28",0.093,Fox Corp,Common Stock,Communication Services,06/25/2021
QQQM,35137L204,FOX ,"20,446","744,029.94",0.068,Fox Corp,Common Stock,Communication Services,06/25/2021
QQQM,CASHUSD00,-CASH-,-502,-502.29,-0.000,Cash/Receivables/Payables,Currency,Cash,06/25/2021
